Month,Date,Year,Temp(F),Precip(In)
05,01,2018,74.0,0.00
05,02,2018,77.1,0.00
05,03,2018,76.3,0.00
05,04,2018,76.8,0.00
05,05,2018,74.4,0.00
05,06,2018,76.6,0.00
05,07,2018,77.4,0.00
05,08,2018,80.0,0.00
05,09,2018,79.8,0.00
05,10,2018,77.9,0.00
05,11,2018,79.2,0.00
05,12,2018,80.0,0.00
05,13,2018,80.8,0.00
05,14,2018,82.6,0.00
05,15,2018,83.6,0.00
05,16,2018,83.8,0.05
05,17,2018,83.5,0.00
05,18,2018,79.4,0.00
05,19,2018,81.0,0.20
05,20,2018,82.9,0.00
05,21,2018,80.7,0.00
05,22,2018,82.5,0.00
05,23,2018,83.9,0.00
05,24,2018,80.2,0.02
05,25,2018,78.2,0.24
05,26,2018,78.6,1.19
05,27,2018,81.2,0.00
05,28,2018,84.6,0.01
05,29,2018,83.1,0.00
05,30,2018,84.3,0.02
05,31,2018,84.2,0.00
