Month,Date,Year,Temp(F),Precip(In)
05,01,2018,37.8,0.00
05,02,2018,48.5,0.00
05,03,2018,53.2,0.00
05,04,2018,54.8,0.00
05,05,2018,55.4,0.00
05,06,2018,60.0,0.00
05,07,2018,68.3,0.00
05,08,2018,58.4,0.00
05,09,2018,50.3,0.00
05,10,2018,38.5,0.00
05,11,2018,45.3,0.00
05,12,2018,56.3,0.00
05,13,2018,65.7,0.00
05,14,2018,50.8,0.00
05,15,2018,67.0,0.00
05,16,2018,53.8,0.00
05,17,2018,51.2,0.00
05,18,2018,46.0,0.30
05,19,2018,50.8,0.27
05,20,2018,61.5,0.00
05,21,2018,66.5,0.00
05,22,2018,69.2,0.00
05,23,2018,74.7,0.00
05,24,2018,75.4,0.13
05,25,2018,68.4,0.19
05,26,2018,66.3,0.05
05,27,2018,69.3,0.03
05,28,2018,69.7,0.03
05,29,2018,69.2,0.00
05,30,2018,63.7,0.00
05,31,2018,61.4,1.03
